tweet_id,favorites,retweets,user_followers,user_favourites,date_time
813096984823349248,10801,3701,8768045,145816,2016-12-25 19:00:02+00:00
813081950185472002,10113,2840,8768045,145816,2016-12-25 18:00:17+00:00
813066809284972545,8146,2001,8768045,145816,2016-12-25 17:00:08+00:00
813051746834595840,21455,7542,8768045,145816,2016-12-25 16:00:16+00:00
812781120811126785,7759,1953,8768045,145816,2016-12-24 22:04:54+00:00
812709060537683968,6776,1467,8768045,145816,2016-12-24 17:18:34+00:00
812503143955202048,6208,1253,8768045,145816,2016-12-24 03:40:19+00:00
812466873996607488,8157,1987,8768045,145816,2016-12-24 01:16:12+00:00
812372279581671427,13981,3757,8768045,145816,2016-12-23 19:00:19+00:00
811985624773361665,7432,1439,8768045,145816,2016-12-22 17:23:53+00:00
811744202451197953,7717,1638,8768045,145816,2016-12-22 01:24:33+00:00
811647686436880384,5740,761,8768045,145816,2016-12-21 19:01:02+00:00
811627233043480576,13082,3161,8768045,145816,2016-12-21 17:39:46+00:00
811386762094317568,21418,6553,8768045,145816,2016-12-21 01:44:13+00:00
810984652412424192,5468,1472,8768045,145816,2016-12-19 23:06:23+00:00
810896069567610880,9237,1814,8768045,145816,2016-12-19 17:14:23+00:00
810657578271330305,11240,2721,8768045,145816,2016-12-19 01:26:42+00:00
810284430598270976,36121,11609,8768045,145816,2016-12-18 00:43:57+00:00
810254108431155201,15050,3456,8768045,145816,2016-12-17 22:43:27+00:00
809920764300447744,15895,4040,8768045,145816,2016-12-17 00:38:52+00:00
809808892968534016,0,5032,8768045,145816,2016-12-16 17:14:20+00:00
809448704142938112,7104,1502,8768045,145816,2016-12-15 17:23:04+00:00
809220051211603969,20409,5756,8768046,145816,2016-12-15 02:14:29+00:00
809084759137812480,13568,3617,8768046,145816,2016-12-14 17:16:53+00:00
808838249661788160,10356,3125,8768046,145816,2016-12-14 00:57:20+00:00
808733504066486276,8103,2224,8768046,145816,2016-12-13 18:01:07+00:00
808501579447930884,11573,2679,8768046,145816,2016-12-13 02:39:32+00:00
808344865868283904,43618,21446,8768046,145816,2016-12-12 16:16:49+00:00
808134635716833280,0,6095,8768046,145816,2016-12-12 02:21:26+00:00
808106460588765185,9004,2264,8768046,145816,2016-12-12 00:29:28+00:00
808001312164028416,12847,3624,8768046,145816,2016-12-11 17:31:39+00:00
807621403335917568,14939,3733,8768046,145816,2016-12-10 16:22:02+00:00
807106840509214720,121229,57025,8768046,145816,2016-12-09 06:17:20+00:00
807059379405148160,0,7544,8768046,145816,2016-12-09 03:08:45+00:00
807010152071229440,13384,3959,8768046,145816,2016-12-08 23:53:08+00:00
806629075125202948,76586,35669,8768046,145816,2016-12-07 22:38:52+00:00
806620845233815552,0,5683,8768046,145816,2016-12-07 22:06:10+00:00
806576416489959424,5008,1995,8768046,145816,2016-12-07 19:09:37+00:00
806542213899489280,10478,2419,8768046,145816,2016-12-07 16:53:43+00:00
806242860592926720,0,11953,8768046,145816,2016-12-06 21:04:11+00:00
806219024703037440,6590,1223,8768046,145816,2016-12-06 19:29:28+00:00
805958939288408065,0,5512,8768046,145816,2016-12-06 02:15:59+00:00
805932879469572096,8480,1969,8768046,145816,2016-12-06 00:32:26+00:00
805826884734976000,6736,1879,8768046,145816,2016-12-05 17:31:15+00:00
805823200554876929,0,8258,8768046,145816,2016-12-05 17:16:37+00:00
805520635690676224,5890,1709,8768046,145816,2016-12-04 21:14:20+00:00
805487436403003392,9008,2589,8768046,145816,2016-12-04 19:02:24+00:00
805207613751304193,8024,1761,8768046,145816,2016-12-04 00:30:29+00:00
804738756058218496,14032,3927,8768046,145816,2016-12-02 17:27:25+00:00
804475857670639616,6295,2067,8768046,145816,2016-12-02 00:02:45+00:00
804413760345620481,0,3321,8768046,145816,2016-12-01 19:56:00+00:00
804026241225523202,45620,16612,8768046,145816,2016-11-30 18:16:08+00:00
803773340896923648,10313,2823,8768046,145816,2016-11-30 01:31:12+00:00
803692223237865472,0,7626,8768046,145816,2016-11-29 20:08:52+00:00
803638050916102144,11225,4251,8768046,145816,2016-11-29 16:33:36+00:00
803380650405482500,7967,1915,8768046,145816,2016-11-28 23:30:47+00:00
803321560782307329,0,5472,8768046,145816,2016-11-28 19:35:59+00:00
803276597545603072,10279,2526,8768046,145816,2016-11-28 16:37:19+00:00
802952499103731712,9246,2066,8768046,145816,2016-11-27 19:09:28+00:00
802624713319034886,0,2986,8768046,145816,2016-11-26 21:26:58+00:00
802600418706604034,7287,1510,8768046,145816,2016-11-26 19:50:26+00:00
802572683846291456,9157,2579,8768046,145816,2016-11-26 18:00:13+00:00
802323869084381190,16624,5998,8768046,145816,2016-11-26 01:31:31+00:00
802265048156610565,6943,1415,8768046,145816,2016-11-25 21:37:47+00:00
802239329049477120,9302,2697,8768046,145816,2016-11-25 19:55:35+00:00
802185808107208704,0,279,8768046,145816,2016-11-25 16:22:55+00:00
801958328846974976,7935,1757,8768046,145816,2016-11-25 01:18:59+00:00
801854953262350336,1824,243,8768046,145816,2016-11-24 18:28:13+00:00
801538201127157760,8426,2123,8768046,145816,2016-11-23 21:29:33+00:00
801285448605831168,6215,848,8768046,145816,2016-11-23 04:45:12+00:00
801167903437357056,25108,6095,8768045,145816,2016-11-22 20:58:07+00:00
801127390143516673,0,4059,8768045,145816,2016-11-22 18:17:08+00:00
801115127852503040,8286,2163,8768045,145816,2016-11-22 17:28:25+00:00
800859414831898624,701,98,8768045,145816,2016-11-22 00:32:18+00:00
800855607700029440,0,1658,8768045,145816,2016-11-22 00:17:10+00:00
800751577355128832,10820,2871,8768045,145816,2016-11-21 17:23:47+00:00
800513324630806528,13476,3074,8768045,145816,2016-11-21 01:37:04+00:00
800459316964663297,9747,2234,8768045,145816,2016-11-20 22:02:27+00:00
800443802682937345,0,4437,8768045,145816,2016-11-20 21:00:48+00:00
800388270626521089,11430,2885,8768045,145816,2016-11-20 17:20:08+00:00
800188575492947969,0,4052,8768045,145816,2016-11-20 04:06:37+00:00
800141422401830912,15676,2621,8768045,145816,2016-11-20 00:59:15+00:00
800018252395122689,29112,13541,8768045,145816,2016-11-19 16:49:49+00:00
799774291445383169,0,4819,8768045,145816,2016-11-19 00:40:24+00:00
799757965289017345,8611,2219,8768045,145816,2016-11-18 23:35:32+00:00
799422933579902976,8256,1975,8768045,145816,2016-11-18 01:24:14+00:00
799308762079035393,0,5627,8768045,145816,2016-11-17 17:50:33+00:00
799297110730567681,10148,2840,8768045,145816,2016-11-17 17:04:16+00:00
799063482566066176,8276,2528,8768045,145816,2016-11-17 01:35:54+00:00
798933969379225600,13428,4598,8768045,145816,2016-11-16 17:01:16+00:00
798925684722855936,7675,1479,8768045,145816,2016-11-16 16:28:21+00:00
798705661114773508,0,6830,8768045,145816,2016-11-16 01:54:03+00:00
798701998996647937,0,8013,8768045,145816,2016-11-16 01:39:30+00:00
798697898615730177,0,6678,8768045,145816,2016-11-16 01:23:12+00:00
798694562394996736,0,5097,8768045,145816,2016-11-16 01:09:57+00:00
798686750113755136,0,2400,8768045,145816,2016-11-16 00:38:54+00:00
798682547630837760,0,4848,8768045,145816,2016-11-16 00:22:12+00:00
798673117451325440,0,5697,8768045,145816,2016-11-15 23:44:44+00:00
798665375516884993,0,4020,8768045,145816,2016-11-15 23:13:58+00:00
798644042770751489,0,1904,8768045,145816,2016-11-15 21:49:12+00:00
798628517273620480,0,2029,8768045,145816,2016-11-15 20:47:30+00:00
798585098161549313,0,5878,8768045,145816,2016-11-15 17:54:59+00:00
798576900688019456,0,6011,8768045,145816,2016-11-15 17:22:24+00:00
798340744599797760,0,3447,8768045,145816,2016-11-15 01:44:00+00:00
798209839306514432,10694,2628,8768045,145816,2016-11-14 17:03:50+00:00
797971864723324932,11908,3197,8768045,145816,2016-11-14 01:18:12+00:00
797545162159308800,14921,5004,8768045,145816,2016-11-12 21:02:38+00:00
797236660651966464,20457,6777,8768045,145816,2016-11-12 00:36:46+00:00
797165961484890113,230,26,8768045,145816,2016-11-11 19:55:50+00:00
796904159865868288,0,9172,8768045,145816,2016-11-11 02:35:32+00:00
796865951799083009,7884,1969,8768045,145816,2016-11-11 00:03:42+00:00
796759840936919040,12144,3134,8768045,145816,2016-11-10 17:02:03+00:00
796563435802726400,0,7471,8768045,145816,2016-11-10 04:01:37+00:00
796484825502875648,7774,1810,8768045,145816,2016-11-09 22:49:15+00:00
796387464403357696,11293,4273,8768045,145816,2016-11-09 16:22:22+00:00
